epoch,train_total,train_reconstruction,train_mrstft,train_detectability,train_peak_penalty,train_nmse,train_mae,train_loudness_proxy,train_peak_violation,val_total,val_reconstruction,val_mrstft,val_detectability,val_peak_penalty,val_nmse,val_mae,val_loudness_proxy,val_peak_violation,lr_group0,time_sec
1,4.2389855827773975,0.205664041161458,3.3367628259646147,34.82793574150401,0.0,0.14118996741445575,0.0644740736727933,0.2722241185100905,0.0,4.627004701026284,0.16327656731828227,4.002118618278713,23.080476872676538,0.0,0.10846851590079265,0.05480805108999158,0.2654069865142906,0.0,1e-05,24.512357711791992
2,3.7684061429092695,0.16920730492389535,3.067896250867907,26.56512928512763,0.0,0.11232703043071239,0.056880274473393895,0.2674108859829377,0.0,4.429619004883315,0.12570305856374595,3.890308644417878,20.680365578144283,0.0,0.0791951414443307,0.04650791697613486,0.25361959570711784,0.0,1e-05,25.482027769088745
3,3.510432054068826,0.1525609384217902,2.8831812540690103,23.734493182793706,0.0,0.09921070177894664,0.05335023656863457,0.26420742815550896,0.0,4.3146977354746445,0.13051369335952695,3.7611628698778676,21.151059156327964,0.0,0.0829333502717398,0.04758034310825578,0.2509737240744161,0.0,1e-05,24.39764904975891
4,3.2982397279565774,0.1471325923821049,2.714874025201734,21.81165557454085,0.0,0.0954682083397233,0.05166438430706027,0.2613379155813777,0.0,3.9513229292869614,0.11157594297777165,3.5275182278601678,15.611438112809267,0.0,0.06900245231668373,0.042573491377489905,0.24998321883626037,0.0,1e-05,21.64525318145752
5,3.190351536666825,0.1343745285890017,2.654938476494109,20.051926467377772,0.0,0.08624322349786917,0.0481313051430788,0.25886756470637173,0.0,3.844735448188326,0.10362523599722229,3.436338482322274,15.238587100336392,0.0,0.06352123604821307,0.04010400048119354,0.24702584956373488,0.0,1e-05,21.935004472732544
6,3.0120582512838134,0.13026943509955488,2.5111973594384365,18.52957270074662,0.0,0.08326978521646652,0.04699964986082567,0.2584673997415489,0.0,3.71793188453865,0.10464341437014249,3.3276905492766873,14.279895933037082,0.0,0.0639211832555932,0.040722231165720865,0.24674082981361137,0.0,1e-05,22.059734344482422
7,2.8246367192254724,0.12837777583109114,2.3456537596891285,17.53025916572084,0.0,0.08193723306277517,0.046440542590214434,0.25896469753972723,0.0,3.5058836942208487,0.09303053016109127,3.0986251621455936,15.711399611625204,0.0,0.055631081522493575,0.037399449140079075,0.23405120579095987,0.0,1e-05,23.128158569335938
8,2.7710137926683025,0.1250082287605936,2.2924700837686243,17.67677390380394,0.0,0.07962552437269355,0.045382704447267226,0.2565037386113429,0.0,3.5304483979829504,0.09690815883760269,3.1598302761277,13.685497668846216,0.0,0.05846924843409887,0.038438910290926366,0.24314569100573824,0.0,1e-05,22.529160499572754
9,2.8505931811387346,0.1380019112877241,2.353066530518956,17.97623689214645,0.0,0.08908058795212195,0.048921323437021075,0.26207484419681476,0.0,3.530824816230886,0.11694058059499814,3.1389528923964765,13.746567745326526,0.0,0.07313025402990016,0.043810326258068556,0.2540309075470809,0.0,1e-05,24.868328094482422
10,2.7313878649103813,0.12983658200854642,2.268623972793974,16.646365556597285,0.0,0.08353648386440508,0.04630009825545478,0.2592439285985344,0.0,3.3763912321873972,0.08630715650352803,3.0382673871386183,12.590833802969323,0.0,0.05101295468489547,0.03529420219730217,0.23382394457911396,0.0,1e-05,23.230266571044922
