epoch,train_total,train_reconstruction,train_mrstft,train_detectability,train_peak_penalty,train_kl,train_nmse,train_mae,train_loudness_proxy,train_peak_violation,val_total,val_reconstruction,val_mrstft,val_detectability,val_peak_penalty,val_kl,val_nmse,val_mae,val_loudness_proxy,val_peak_violation,lr_group0,time_sec
1,2.7639690214217505,0.13812676428323722,2.2448401986206985,18.951430893768222,0.0,19.73437645267522,0.08892641933127783,0.049200344825804154,0.2602428518245578,0.0,3.5213593615582086,0.1181102811389572,3.084084513750705,15.829069271759618,0.0,25.831819895859603,0.07331948868602842,0.0447907929032386,0.24446276550764565,0.0,1e-05,23.29073667526245
2,2.8121758460539317,0.13356661504186482,2.3099952899760616,18.27791483915079,0.0,30.556437810262043,0.08593492793441214,0.04763168701592828,0.2565089397300604,0.0,3.610729769398342,0.11531074070832231,3.2014009834645867,14.567292325666154,0.0,26.72184752369975,0.07187688645425734,0.04343385429500223,0.24928711321982708,0.0,1e-05,21.891493320465088
3,2.75292927437056,0.12847354341234027,2.2612741799310228,17.990833344856178,0.0,33.64884078138537,0.08192888925601524,0.046544654349268355,0.25535782010036,0.0,3.493895161594741,0.08636645131468118,3.10900238942314,14.701656114287742,0.0,44.931982920720024,0.050920996794497575,0.03544545469416694,0.23116942143047248,0.0,1e-05,24.896166563034058
4,2.6598047314565485,0.11476734918783385,2.1832618089627776,17.821274610028595,0.0,53.500827566402684,0.07191557024084873,0.042851778912354276,0.25043641806519523,0.0,3.4104836023858,0.09616353008691426,3.037936005291048,13.548308049692812,0.0,54.17901057987423,0.05845078662713314,0.037712743638881614,0.24322276963637426,0.0,1e-05,21.951642274856567
5,2.63441184144199,0.1209553269592731,2.16158119900768,17.460206269162228,0.0,26.711877849472472,0.07668245627184907,0.0442728704709812,0.25533730602992644,0.0,3.359070313773514,0.09744591456275065,2.999750616458746,12.968889437241652,0.0,24.959962121732943,0.059603241159693225,0.03784267362821233,0.24450158467004587,0.0,1e-05,21.93561840057373
6,2.5809209697199402,0.11909411412232108,2.125285315007011,16.655338929538697,0.0,34.34757874274792,0.07532198283113886,0.04377213117986878,0.25445905300092253,0.0,3.4208084280610827,0.09731219565639129,3.0486337404984694,13.455579370917821,0.0,57.50894858810928,0.0594647631335717,0.03784743271727156,0.24372497233715687,0.0,1e-05,21.951343059539795
7,2.616506535449166,0.12255906626324888,2.159837964363149,16.441423585976953,0.0,52.810290743155306,0.07779495675082146,0.04476410920817064,0.2543600758866643,0.0,3.4537919642390307,0.10593628690956713,3.065859159597984,13.79104234492816,0.0,61.75679556878058,0.06477118993771601,0.041165097197006034,0.24638001457020475,0.0,1e-05,21.895838260650635
8,2.648650691475887,0.12070354335950031,2.176040373792053,17.286424530953756,0.0,61.782824664476856,0.07599711544554467,0.04470642787437752,0.25000239360538296,0.0,3.3620395214455447,0.08904446530473101,2.969904282590845,14.877494751772245,0.0,55.40873248760517,0.05268201317413004,0.036362451971969106,0.22670440146556267,0.0,1e-05,24.84333324432373
9,2.5783301736626605,0.11698973528635137,2.130090462100775,16.207559989805784,0.0,70.98774927957442,0.07407053541466296,0.04291919967132419,0.25177941654387065,0.0,3.285998969413264,0.09524417351317274,2.936211646913172,12.405017309080204,0.0,64.42798406475193,0.05756590984106719,0.03767826336507614,0.23878734485133662,0.0,1e-05,21.88075017929077
10,2.5453117300320534,0.12184219492740365,2.095065849077496,15.996188660556184,0.0,84.79912489122287,0.07759561218014593,0.044246582804151266,0.2540464236600149,0.0,3.1661674345832322,0.0889516866428184,2.817394711814084,12.674583233426112,0.0,63.29362132785084,0.05304885992350487,0.03590282760969885,0.23463764557471642,0.0,1e-05,21.951045989990234
